document_id,cleaned_text,sentiment
61,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
62,良い,0
63,pareil quand jétai jeun,0
64,相当なスキルを持った商品ですモチベーション上がりました,0
65,love fact fragranc free doesnt dri skin,1
66,gift,1
67,time classic,1
68,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
69,good valu product thought would produc bubbl,1
70,work great love scentless use cap half make perfect amount bubbl,1
71,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
72,month old love good bubbl bath perfect gentl skin,1
73,blast past child bubbl bath bring great joy still around love,0
74,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
75,良い,0
76,pareil quand jétai jeun,0
77,相当なスキルを持った商品ですモチベーション上がりました,0
78,love fact fragranc free doesnt dri skin,1
79,gift,1
80,time classic,1
81,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
82,good valu product thought would produc bubbl,1
83,work great love scentless use cap half make perfect amount bubbl,1
84,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
85,month old love good bubbl bath perfect gentl skin,1
86,blast past child bubbl bath bring great joy still around love,0
87,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
88,良い,0
89,pareil quand jétai jeun,0
90,相当なスキルを持った商品ですモチベーション上がりました,0
91,love fact fragranc free doesnt dri skin,1
92,gift,1
93,time classic,1
94,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
95,good valu product thought would produc bubbl,1
96,work great love scentless use cap half make perfect amount bubbl,1
97,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
98,month old love good bubbl bath perfect gentl skin,1
99,blast past child bubbl bath bring great joy still around love,0
100,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
101,良い,0
102,pareil quand jétai jeun,0
103,相当なスキルを持った商品ですモチベーション上がりました,0
104,love fact fragranc free doesnt dri skin,1
105,gift,1
106,time classic,1
107,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
108,good valu product thought would produc bubbl,1
109,work great love scentless use cap half make perfect amount bubbl,1
110,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
111,month old love good bubbl bath perfect gentl skin,1
112,blast past child bubbl bath bring great joy still around love,0
113,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
114,良い,0
115,pareil quand jétai jeun,0
116,相当なスキルを持った商品ですモチベーション上がりました,0
117,love fact fragranc free doesnt dri skin,1
118,gift,1
119,time classic,1
120,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
121,good valu product thought would produc bubbl,1
122,work great love scentless use cap half make perfect amount bubbl,1
123,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
124,month old love good bubbl bath perfect gentl skin,1
125,blast past child bubbl bath bring great joy still around love,0
126,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
127,良い,0
128,pareil quand jétai jeun,0
129,相当なスキルを持った商品ですモチベーション上がりました,0
130,love fact fragranc free doesnt dri skin,1
131,gift,1
132,time classic,1
133,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
134,good valu product thought would produc bubbl,1
135,work great love scentless use cap half make perfect amount bubbl,1
136,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
137,month old love good bubbl bath perfect gentl skin,1
138,blast past child bubbl bath bring great joy still around love,0
139,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
140,良い,0
141,pareil quand jétai jeun,0
142,相当なスキルを持った商品ですモチベーション上がりました,0
143,love fact fragranc free doesnt dri skin,1
144,gift,1
145,time classic,1
146,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
147,good valu product thought would produc bubbl,1
148,work great love scentless use cap half make perfect amount bubbl,1
149,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
150,month old love good bubbl bath perfect gentl skin,1
151,blast past child bubbl bath bring great joy still around love,0
152,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
153,良い,0
154,pareil quand jétai jeun,0
155,相当なスキルを持った商品ですモチベーション上がりました,0
156,love fact fragranc free doesnt dri skin,1
157,gift,1
158,time classic,1
159,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
160,good valu product thought would produc bubbl,1
161,work great love scentless use cap half make perfect amount bubbl,1
162,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
163,month old love good bubbl bath perfect gentl skin,1
164,blast past child bubbl bath bring great joy still around love,0
165,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
166,良い,0
167,pareil quand jétai jeun,0
168,相当なスキルを持った商品ですモチベーション上がりました,0
169,love fact fragranc free doesnt dri skin,1
170,gift,1
171,time classic,1
172,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
173,good valu product thought would produc bubbl,1
174,work great love scentless use cap half make perfect amount bubbl,1
175,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
176,month old love good bubbl bath perfect gentl skin,1
177,blast past child bubbl bath bring great joy still around love,0
178,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
179,良い,0
180,pareil quand jétai jeun,0
181,相当なスキルを持った商品ですモチベーション上がりました,0
182,love fact fragranc free doesnt dri skin,1
183,gift,1
184,time classic,1
185,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
186,good valu product thought would produc bubbl,1
187,work great love scentless use cap half make perfect amount bubbl,1
188,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
189,month old love good bubbl bath perfect gentl skin,1
190,blast past child bubbl bath bring great joy still around love,0
191,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
192,良い,0
193,pareil quand jétai jeun,0
194,相当なスキルを持った商品ですモチベーション上がりました,0
195,love fact fragranc free doesnt dri skin,1
196,gift,1
197,time classic,1
198,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
199,good valu product thought would produc bubbl,1
200,work great love scentless use cap half make perfect amount bubbl,1
201,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
202,month old love good bubbl bath perfect gentl skin,1
203,blast past child bubbl bath bring great joy still around love,0
204,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
205,良い,0
206,pareil quand jétai jeun,0
207,相当なスキルを持った商品ですモチベーション上がりました,0
208,love fact fragranc free doesnt dri skin,1
209,gift,1
210,time classic,1
211,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
212,good valu product thought would produc bubbl,1
213,work great love scentless use cap half make perfect amount bubbl,1
214,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
215,month old love good bubbl bath perfect gentl skin,1
216,blast past child bubbl bath bring great joy still around love,0
217,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
218,良い,0
219,pareil quand jétai jeun,0
220,相当なスキルを持った商品ですモチベーション上がりました,0
221,love fact fragranc free doesnt dri skin,1
222,gift,1
223,time classic,1
224,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
225,good valu product thought would produc bubbl,1
226,work great love scentless use cap half make perfect amount bubbl,1
227,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
228,month old love good bubbl bath perfect gentl skin,1
229,blast past child bubbl bath bring great joy still around love,0
230,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
231,良い,0
232,pareil quand jétai jeun,0
233,相当なスキルを持った商品ですモチベーション上がりました,0
234,love fact fragranc free doesnt dri skin,1
235,gift,1
236,time classic,1
237,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
238,good valu product thought would produc bubbl,1
239,work great love scentless use cap half make perfect amount bubbl,1
240,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
241,month old love good bubbl bath perfect gentl skin,1
242,blast past child bubbl bath bring great joy still around love,0
243,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
244,良い,0
245,pareil quand jétai jeun,0
246,相当なスキルを持った商品ですモチベーション上がりました,0
247,love fact fragranc free doesnt dri skin,1
248,gift,1
249,time classic,1
250,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
251,good valu product thought would produc bubbl,1
252,work great love scentless use cap half make perfect amount bubbl,1
253,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
254,month old love good bubbl bath perfect gentl skin,1
255,blast past child bubbl bath bring great joy still around love,0
256,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
257,良い,0
258,pareil quand jétai jeun,0
259,相当なスキルを持った商品ですモチベーション上がりました,0
260,love fact fragranc free doesnt dri skin,1
261,gift,1
262,time classic,1
263,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
264,good valu product thought would produc bubbl,1
265,work great love scentless use cap half make perfect amount bubbl,1
266,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
267,month old love good bubbl bath perfect gentl skin,1
268,blast past child bubbl bath bring great joy still around love,0
269,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
270,良い,0
271,pareil quand jétai jeun,0
272,相当なスキルを持った商品ですモチベーション上がりました,0
273,love fact fragranc free doesnt dri skin,1
274,gift,1
275,time classic,1
276,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
277,good valu product thought would produc bubbl,1
278,work great love scentless use cap half make perfect amount bubbl,1
279,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
280,month old love good bubbl bath perfect gentl skin,1
281,blast past child bubbl bath bring great joy still around love,0
282,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
283,良い,0
284,pareil quand jétai jeun,0
285,相当なスキルを持った商品ですモチベーション上がりました,0
286,love fact fragranc free doesnt dri skin,1
287,gift,1
288,time classic,1
289,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
290,good valu product thought would produc bubbl,1
291,work great love scentless use cap half make perfect amount bubbl,1
292,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
293,month old love good bubbl bath perfect gentl skin,1
294,blast past child bubbl bath bring great joy still around love,0
295,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
296,良い,0
297,pareil quand jétai jeun,0
298,相当なスキルを持った商品ですモチベーション上がりました,0
299,love fact fragranc free doesnt dri skin,1
300,gift,1
301,time classic,1
302,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
303,good valu product thought would produc bubbl,1
304,work great love scentless use cap half make perfect amount bubbl,1
305,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
306,month old love good bubbl bath perfect gentl skin,1
307,blast past child bubbl bath bring great joy still around love,0
308,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
309,良い,0
310,pareil quand jétai jeun,0
311,相当なスキルを持った商品ですモチベーション上がりました,0
312,love fact fragranc free doesnt dri skin,1
313,gift,1
314,time classic,1
315,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
316,good valu product thought would produc bubbl,1
317,work great love scentless use cap half make perfect amount bubbl,1
318,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
319,month old love good bubbl bath perfect gentl skin,1
320,blast past child bubbl bath bring great joy still around love,0
321,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
322,良い,0
323,pareil quand jétai jeun,0
324,相当なスキルを持った商品ですモチベーション上がりました,0
325,love fact fragranc free doesnt dri skin,1
326,gift,1
327,time classic,1
328,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
329,good valu product thought would produc bubbl,1
330,work great love scentless use cap half make perfect amount bubbl,1
331,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
332,month old love good bubbl bath perfect gentl skin,1
333,blast past child bubbl bath bring great joy still around love,0
334,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
335,良い,0
336,pareil quand jétai jeun,0
337,相当なスキルを持った商品ですモチベーション上がりました,0
338,love fact fragranc free doesnt dri skin,1
339,gift,1
340,time classic,1
341,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
342,good valu product thought would produc bubbl,1
343,work great love scentless use cap half make perfect amount bubbl,1
344,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
345,month old love good bubbl bath perfect gentl skin,1
346,blast past child bubbl bath bring great joy still around love,0
347,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
348,良い,0
349,pareil quand jétai jeun,0
350,相当なスキルを持った商品ですモチベーション上がりました,0
351,love fact fragranc free doesnt dri skin,1
352,gift,1
353,time classic,1
354,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
355,good valu product thought would produc bubbl,1
356,work great love scentless use cap half make perfect amount bubbl,1
357,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
358,month old love good bubbl bath perfect gentl skin,1
359,blast past child bubbl bath bring great joy still around love,0
360,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
361,良い,0
362,pareil quand jétai jeun,0
363,相当なスキルを持った商品ですモチベーション上がりました,0
364,love fact fragranc free doesnt dri skin,1
365,gift,1
366,time classic,1
367,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
368,good valu product thought would produc bubbl,1
369,work great love scentless use cap half make perfect amount bubbl,1
370,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
371,month old love good bubbl bath perfect gentl skin,1
372,blast past child bubbl bath bring great joy still around love,0
373,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
374,良い,0
375,pareil quand jétai jeun,0
376,相当なスキルを持った商品ですモチベーション上がりました,0
377,love fact fragranc free doesnt dri skin,1
378,gift,1
379,time classic,1
380,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
381,good valu product thought would produc bubbl,1
382,work great love scentless use cap half make perfect amount bubbl,1
383,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
384,month old love good bubbl bath perfect gentl skin,1
385,blast past child bubbl bath bring great joy still around love,0
386,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
387,良い,0
388,pareil quand jétai jeun,0
389,相当なスキルを持った商品ですモチベーション上がりました,0
390,love fact fragranc free doesnt dri skin,1
391,gift,1
392,time classic,1
393,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
394,good valu product thought would produc bubbl,1
395,work great love scentless use cap half make perfect amount bubbl,1
396,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
397,month old love good bubbl bath perfect gentl skin,1
398,blast past child bubbl bath bring great joy still around love,0
399,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
400,良い,0
401,pareil quand jétai jeun,0
402,相当なスキルを持った商品ですモチベーション上がりました,0
403,love fact fragranc free doesnt dri skin,1
404,gift,1
405,time classic,1
406,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
407,good valu product thought would produc bubbl,1
408,work great love scentless use cap half make perfect amount bubbl,1
409,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
410,month old love good bubbl bath perfect gentl skin,1
411,blast past child bubbl bath bring great joy still around love,0
412,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
413,良い,0
414,pareil quand jétai jeun,0
415,相当なスキルを持った商品ですモチベーション上がりました,0
416,love fact fragranc free doesnt dri skin,1
417,gift,1
418,time classic,1
419,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
420,good valu product thought would produc bubbl,1
421,work great love scentless use cap half make perfect amount bubbl,1
422,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
423,month old love good bubbl bath perfect gentl skin,1
424,blast past child bubbl bath bring great joy still around love,0
425,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
426,良い,0
427,pareil quand jétai jeun,0
428,相当なスキルを持った商品ですモチベーション上がりました,0
429,love fact fragranc free doesnt dri skin,1
430,gift,1
431,time classic,1
432,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
433,good valu product thought would produc bubbl,1
434,work great love scentless use cap half make perfect amount bubbl,1
435,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
436,month old love good bubbl bath perfect gentl skin,1
437,blast past child bubbl bath bring great joy still around love,0
438,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
439,良い,0
440,pareil quand jétai jeun,0
441,相当なスキルを持った商品ですモチベーション上がりました,0
442,love fact fragranc free doesnt dri skin,1
443,gift,1
444,time classic,1
445,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
446,good valu product thought would produc bubbl,1
447,work great love scentless use cap half make perfect amount bubbl,1
448,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
449,month old love good bubbl bath perfect gentl skin,1
450,blast past child bubbl bath bring great joy still around love,0
451,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
452,良い,0
453,pareil quand jétai jeun,0
454,相当なスキルを持った商品ですモチベーション上がりました,0
455,love fact fragranc free doesnt dri skin,1
456,gift,1
457,time classic,1
458,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
459,good valu product thought would produc bubbl,1
460,work great love scentless use cap half make perfect amount bubbl,1
461,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
462,month old love good bubbl bath perfect gentl skin,1
463,blast past child bubbl bath bring great joy still around love,0
464,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
465,良い,0
466,pareil quand jétai jeun,0
467,相当なスキルを持った商品ですモチベーション上がりました,0
468,love fact fragranc free doesnt dri skin,1
469,gift,1
470,time classic,1
471,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
472,good valu product thought would produc bubbl,1
473,work great love scentless use cap half make perfect amount bubbl,1
474,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
475,month old love good bubbl bath perfect gentl skin,1
476,blast past child bubbl bath bring great joy still around love,0
477,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
478,良い,0
479,pareil quand jétai jeun,0
480,相当なスキルを持った商品ですモチベーション上がりました,0
481,love fact fragranc free doesnt dri skin,1
482,gift,1
483,time classic,1
484,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
485,good valu product thought would produc bubbl,1
486,work great love scentless use cap half make perfect amount bubbl,1
487,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
488,month old love good bubbl bath perfect gentl skin,1
489,blast past child bubbl bath bring great joy still around love,0
490,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
491,良い,0
492,pareil quand jétai jeun,0
493,相当なスキルを持った商品ですモチベーション上がりました,0
494,love fact fragranc free doesnt dri skin,1
495,gift,1
496,time classic,1
497,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
498,good valu product thought would produc bubbl,1
499,work great love scentless use cap half make perfect amount bubbl,1
500,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
501,month old love good bubbl bath perfect gentl skin,1
502,blast past child bubbl bath bring great joy still around love,0
503,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
504,良い,0
505,pareil quand jétai jeun,0
506,相当なスキルを持った商品ですモチベーション上がりました,0
507,love fact fragranc free doesnt dri skin,1
508,gift,1
509,time classic,1
510,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
511,good valu product thought would produc bubbl,1
512,work great love scentless use cap half make perfect amount bubbl,1
513,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
514,month old love good bubbl bath perfect gentl skin,1
515,blast past child bubbl bath bring great joy still around love,0
516,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
517,良い,0
518,pareil quand jétai jeun,0
519,相当なスキルを持った商品ですモチベーション上がりました,0
520,love fact fragranc free doesnt dri skin,1
521,gift,1
522,time classic,1
523,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
524,good valu product thought would produc bubbl,1
525,work great love scentless use cap half make perfect amount bubbl,1
526,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
527,month old love good bubbl bath perfect gentl skin,1
528,blast past child bubbl bath bring great joy still around love,0
529,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
530,良い,0
531,pareil quand jétai jeun,0
532,相当なスキルを持った商品ですモチベーション上がりました,0
533,love fact fragranc free doesnt dri skin,1
534,gift,1
535,time classic,1
536,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
537,good valu product thought would produc bubbl,1
538,work great love scentless use cap half make perfect amount bubbl,1
539,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
540,month old love good bubbl bath perfect gentl skin,1
541,blast past child bubbl bath bring great joy still around love,0
542,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
543,良い,0
544,pareil quand jétai jeun,0
545,相当なスキルを持った商品ですモチベーション上がりました,0
546,love fact fragranc free doesnt dri skin,1
547,gift,1
548,time classic,1
549,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
550,good valu product thought would produc bubbl,1
551,work great love scentless use cap half make perfect amount bubbl,1
552,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
553,month old love good bubbl bath perfect gentl skin,1
554,blast past child bubbl bath bring great joy still around love,0
555,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
556,良い,0
557,pareil quand jétai jeun,0
558,相当なスキルを持った商品ですモチベーション上がりました,0
559,love fact fragranc free doesnt dri skin,1
560,gift,1
561,time classic,1
562,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
563,good valu product thought would produc bubbl,1
564,work great love scentless use cap half make perfect amount bubbl,1
565,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
566,month old love good bubbl bath perfect gentl skin,1
567,blast past child bubbl bath bring great joy still around love,0
568,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
569,良い,0
570,pareil quand jétai jeun,0
571,相当なスキルを持った商品ですモチベーション上がりました,0
572,love fact fragranc free doesnt dri skin,1
573,gift,1
574,time classic,1
575,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
576,good valu product thought would produc bubbl,1
577,work great love scentless use cap half make perfect amount bubbl,1
578,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
579,month old love good bubbl bath perfect gentl skin,1
580,blast past child bubbl bath bring great joy still around love,0
581,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
582,良い,0
583,pareil quand jétai jeun,0
584,相当なスキルを持った商品ですモチベーション上がりました,0
585,love fact fragranc free doesnt dri skin,1
586,gift,1
587,time classic,1
588,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
589,good valu product thought would produc bubbl,1
590,work great love scentless use cap half make perfect amount bubbl,1
591,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
592,month old love good bubbl bath perfect gentl skin,1
